,ID,Call Number,GLOTREC|Cat Link,Catalogue,Library Catalogue,Year,Publisher,Place,Title,Authors,Pages,Format,School Subject,Level of Education,Document Type,Country of Use
32,1027339522,"RA S-48(10,2016)",gei1027339522,GEI,PPN=1027339522,2005,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Instrucción cívica texto y actividades Dr. Norberto E. Fraga, Prof. Gabriel A. Ribas","['Fraga, Norberto', 'Ribas, Gabriel']","XI, 208 Seiten Illustrationen, Diagramme",Book,Social studies/politics,ISCED 3 - Upper secondary level,Textbook,Argentina
33,1027340717,"RA S-49(1,2012)1",gei1027340717,GEI,PPN=1027340717,2012,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Educación cívica 1, [Schülerband] Derechos humanos, igualdad, responsabilidad y convivencia Norberto E. Fraga, Gabriel A. Ribas","['Fraga, Norberto', 'Ribas, Gabriel']",143 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
34,1027341152,"RA S-49(1,2013)2",gei1027341152,GEI,PPN=1027341152,2013,A-Z Editora,Ciudad Autónoma de Buenos Aires,"Educación cívica 2, [Schülerband] Poder, estado y participación política Norberto E. Fraga, Gabriel A. Ribas","['Fraga, Norberto', 'Ribas, Gabriel']",157 Seiten Illustrationen,Book,Social studies/politics,ISCED 2 - Lower secondary level,Textbook,Argentina
35,1027356362,"RA G-24(2,2017)5",gei1027356362,GEI,PPN=1027356362,2015,Estrada,San Isidro,"Huellas - geografía 5 ES, [Schülerband] Sociedad y economía en la Argentina actual Luis Domínguez Roca ...","['Dominguez Roca, Luis']","239 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
36,1027356672,"RA G-24(2,2017)4",gei1027356672,GEI,PPN=1027356672,2014,Estrada,San Isidro,"Huellas - geografía 4 ES, [Schülerband] Sociedad y economía en el mundo actual Luis Domínguez Roca ...","['Dominguez Roca, Luis']",223 Seiten Illustrationen,Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
37,1027357830,"RA G-24(1,2015)1",gei1027357830,GEI,PPN=1027357830,2014,Estrada,San Isidro,"Huellas - geografía 1, [Schülerband] Ambientes, territorios y población en el mundo actual / Carolina García, Analía Almirón, Gustavo Sposob [und 5 weitere] Luis Domínguez Roca ...","['Garcia, Carolina', 'Almiron, Analia', 'Sposob, Gustavo']","189 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
38,1027358489,"RA G-24(1,2017)3",gei1027358489,GEI,PPN=1027358489,2014,Estrada,San Isidro,"Huellas - geografía 3 ES, [Schülerband] Sociedad y naturaleza en la Argentina / Gustavo Sposob, Luis Domínguez Roca, Raquel Alvarado Quetgles [und 5 weitere] Luis Domínguez Roca ...","['Sposob, Gustavo', 'Dominguez Roca, Luis', 'Quetgles, Raquel']","239 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 3 - Upper secondary level,Textbook,Argentina
39,1027360955,"RA S-50(1,2017)1",gei1027360955,GEI,PPN=1027360955,2013,Puerto De Palos,San Isidro,"Sociedades y espacios geográficos en la actualidad, Historia de las civilizaciones de la Edad Antigua y del mundo feudal autores: Aldana Chiodi, Carolina García, Silvia Ratto, Héctor Francisco, Alejandro Morín","['Chiodi, Aldana', 'Garcia, Carolin', 'Ratto, Silvia', 'Francisco, Hector', 'Morin, Alejandro']","287, 15 Seiten Illustrationen, Diagramme, Karten",Book,Social studies/politics | History | Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
40,1027361560,"RA S-51(1,2015)5",gei1027361560,GEI,PPN=1027361560,2015,Puerto De Palos,San Isidro,"Puerto a diario ciencias sociales 5, [Schülerband] / Autores: Aldana Chiodi, Carolina García, Eduardo Minutella","['Chiodi, Aldana', 'Garcia, Carolin', 'Minutella, Eduardo']","191, 15 Seiten Illustrationen, Karten",Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
41,1027437478,"RA S-51(1,2015)6",gei1027437478,GEI,PPN=1027437478,2015,Puerto De Palos,San Isidro,"Puerto a diario ciencias sociales 6, [Schülerband] / Autores: Martín Albornoz Crespo, Aldana Chiodi, Carolina García [und 2 weitere]","['Albornoz Crespo, Martin', 'Chiodi, Aldana', 'Garcia, Carolina']","191, 15 Seiten Illustrationen, Diagramme, Karten",Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
42,1027442641,"RA G-29(1,2017)2",gei1027442641,GEI,PPN=1027442641,2014,Puerto De Palos,San Isidro,"Geografía 2, [Schülerband] La conformación del espacio geográfico latinoamericano y su situación actual / autores: Aldana Chiodi, Carolina García, Julián Álvarez Insúa [und 2 weitere]","['Chiodi, Aldana', 'Garcia, Carolina', 'Insua, Julian']","208, 15 Seiten Illustrationen, Diagramme, Karten",Book,Geography,ISCED 2 - Lower secondary level,Textbook,Argentina
43,1027444970,"RA H-60(1,2015)1",gei1027444970,GEI,PPN=1027444970,2014,Puerto De Palos,San Isidro,"Historia 1, [Schülerband] Estados, sociedades y culturas en la Edad Antigua y el Medioevo / autores: Aldana Chiodi, Héctor Francisco, Alejandro Morín, Silvia Ratto","['Chiodi, Aldana', 'Francisco, Hector', 'Morin, Alejandro', 'Ratto, Silvia']","239,15 Seiten Illustrationen, Diagramme, Karten",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
44,1027446531,"RA H-60(1,2017)2",gei1027446531,GEI,PPN=1027446531,2014,Puerto De Palos,San Isidro,"Historia 2,[Schülerband] Europa y América entre los siglos XV y XVIII / autores: María Noel Álvarez, Mercedes García Ferrari, Paola Maurizio [und 2 weitere]","['Alvarez, Maria', 'Garcia Ferrari, Mercedes', 'Maurizio, Paola']","223, 15 Seiten Illustrationen",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
45,1027454313,"RA H-61(1,2010)3",gei1027454313,GEI,PPN=1027454313,2010,Aique,Ciudad de Buenos Aires,"Historia 3, [Schülerband] La Argentina y el mundo de la época: desde la organización nacional hasta nuestros días / Eliana de Arrascaeta, Laura Garbarini, Ricardo Lesser [und 3 weitere] Alejandro Cristófori (Coordinador)","['Arrascaeta, Eliana', 'Garbarini, Laura', 'Lesser, Ricardo', 'Cristofori, Alejandro']","255 Seiten Illustrationen, Diagramme, Karten",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
46,1027461085,"RA H-61(1,2010)1",gei1027461085,GEI,PPN=1027461085,2010,Aique,Ciudad de Buenos Aires,"Historia 1, [Schülerband] Desde los comienzos de la historia hasta el fin de la Edad Media / Claudia Binaghi, Nahuel Sugobono, Silvia Tizio [und 2 weitere] Alejandro Cristófori (Coordinador)","['Binaghi, Claudia', 'Sugobono, Nahuel', 'Tizio, Silvia', 'Cristofori, Alejandro']","255 Seiten Illustrationen, Diagramme, Karten",Book,History,ISCED 2 - Lower secondary level,Textbook,Argentina
47,1027462855,"RA S-47(1,2017)4",gei1027462855,GEI,PPN=1027462855,2017,Aique,Ciudad de Buenos Aires,"Ciencias sociales 4, [Schülerband] / Jorge Blanco, Alejandro Cristófori, M. Victoria Fernández Caso [und 4 weitere]","['Blanco, Jorge', 'Cristofori, Alejandro', 'Fernandez Caso, M.']","159, 80 Seiten Illustrationen, Diagramme, Karten",Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
48,1027465080,"RA S-47(1,2017)5",gei1027465080,GEI,PPN=1027465080,2017,Aique,Ciudad de Buenos Aires,"Ciencias sociales 5, [Schülerband] / Jorge Blanco, Alejandro Cristófori, M. Victoria Fernández Caso [und 3 weitere]","['Blanco, Jorge', 'Cristofori, Alejandro', 'Fernandez Caso, M.']","159, 79 Seiten Illustrationen, Diagramme, Karten",Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
49,1027465277,"RA S-47(1,2017)6",gei1027465277,GEI,PPN=1027465277,2017,Aique,Ciudad de Buenos Aires,"Ciencias sociales 6, [Schülerband] / Jorge Blanco, Alejandro Cristófori, M. Victoria Fernández Caso [und 3 weitere]","['Blanco, Jorge', 'Cristofori, Alejandro', 'Fernandez Caso, M.']","159, 79 Seiten",Book,Social studies/politics | History | Geography,ISCED 1 - Primary level,Textbook,Argentina
50,1027467296,"RA S-54(1,2013)",gei1027467296,GEI,PPN=1027467296,2013,Aique,Ciudad Autónoma de Buenos Aires,"Derechos humanos Gustavo Schujman, Vera Carnovale, Laura Clerico, martín Aldao, Gabriel Palumbo","['Schujman, Gustavo', 'Carnovale, Vera', 'Clerico, Laura', 'Aldao, Martin', 'Palumbo, Gabriel']",155 Seiten Illustrationen,Book,Social studies/politics,ISCED 3 - Upper secondary level,Textbook,Argentina
51,1027502962,"RA H-64(5,2015)",gei1027502962,GEI,PPN=1027502962,2012,Aique,Ciudad de Buenos Aires,"Historia el mundo contemporáneo [Schülerband] María Ernestina Alonso, Enrique Carlos Vázquez, Analía Giavón","['Alonso, Maria', 'Vazques, Enrique', 'Giavon, Analia']","288 Seiten Illustrationen, Diagramme, Karten",Book,History,ISCED 3 - Upper secondary level,Textbook,Argentina
52,1027503764,"RA H-64(5,2015)D",gei1027503764,GEI,PPN=1027503764,2012,Aique,Ciudad de Buenos Aires,"Historia el mundo contemporáneo [Quellenheft] Documentos y testimonios / M.E. Alonso, E.C.Vázquez, A. Giavón (comp.) María Ernestina Alonso, Enrique Carlos Vázquez, Analía Giavón","['Alonso, Maria', 'Vazques, Enrique', 'Giavon, Analia']",62 Seiten,Book,History,ISCED 3 - Upper secondary level,Textbook | Source,Argentina
53,1027505015,"RA H-64(5,2015)A",gei1027505015,GEI,PPN=1027505015,2012,Aique,Ciudad de Buenos Aires,"Historia el mundo contemporáneo [Atlas] Atlas histórico María Ernestina Alonso, Enrique Carlos Vázquez, Analía Giavón","['Alonso, Maria', 'Vazques, Enrique', 'Giavon, Analia']",64 Seiten Karten,Map | Book,History,ISCED 3 - Upper secondary level,Textbook | Atlas,Argentina
54,1027505813,"RA S-52(1,2017)",gei1027505813,GEI,PPN=1027505813,2008,Aique,Ciudad de Buenos Aires,"Sociología Estela Falicov, Sara Lifszyc","['Falicov, Estela', 'Lifszyc, Sara']",224 Seiten Illustrationen,Book,Social studies/politics,ISCED 3 - Upper secondary level,Textbook,Argentina
55,1027620639,"RA H-62(1,2013)3",gei1027620639,GEI,PPN=1027620639,2013,Aique,Ciudad de Buenos Aires,"Historia argentina [3, Schülerband] 1955-1976 : profundización de la industrialización y de los conflictos sociales y políticos: de la ""revolución libertadora"" al último golpe cívico militar M.E. Alonso, E.C. Vázquez","['Alonso, Maria', 'Vazquez, Enrique']",143 Seiten Illustrationen,Book,History,ISCED 3 - Upper secondary level,Textbook,Argentina
56,1027621120,"RA H-62(1,2013)2",gei1027621120,GEI,PPN=1027621120,2013,Aique,Ciudad de Buenos Aires,"Historia argentina [2, Schülerband] 1930-1955 : industrialización y luchas por la distribución de la riqueza: de la ""década infame"" a los gobiernos peronistas M.E. Alonso, E.C. Vázquez","['Alonso, Maria', 'Vazquez, Enrique']",111 Seiten Illustrationen,Book,History,ISCED 3 - Upper secondary level,Textbook,Argentina
57,1027621635,"RA H-62(1,2013)4",gei1027621635,GEI,PPN=1027621635,2013,Aique,Ciudad de Buenos Aires,"Historia argentina [4, Schülerband] 1976-2013 : proyectos de país en pugna: de la última dictadura cívico-militar al kirchnerismo M.E. Alonso, E.C. Vázquez","['Alonso, Maria', 'Vazquez, Enrique']",159 Seiten Illustrationen,Book,History,ISCED 3 - Upper secondary level,Textbook,Argentina
58,1027622925,"RA H-62(1,2013)1",gei1027622925,GEI,PPN=1027622925,2013,Aique,Ciudad de Buenos Aires,"Historia argentina [1, Schülerband] 1880-1930 : la economía primaria exportadora: del régimen oligárquico a los gobiernos radicales M.E. Alonso, E.C. Vázquez","['Alonso, Maria', 'Vazquez, Enrique']",135 Seiten Illustrationen,Book,History,ISCED 3 - Upper secondary level,Textbook,Argentina
59,1027633390,"RA W-1(1,2016)4",gei1027633390,GEI,PPN=1027633390,2016,Santillana,Ciudad Autónoma de Buenos Aires,"Cuento con Jesús 4, [Schülerband] / editora: Gabriela M. Paz","['Paz, Gabriela', 'Paz, Alicia', 'Paris, Walter']",127 Seiten Illustrationen,Book,Religion,ISCED 1 - Primary level,Textbook,Argentina
60,1027633609,"RA W-1(1,2016)5",gei1027633609,GEI,PPN=1027633609,2016,Santillana,Ciudad Autónoma de Buenos Aires,"Cuento con Jesús 5, [Schülerband] / editora: María Elena Marcos","['Marcos, Maria', 'Paz, Alicia', 'Paris, Walter']",128 Seiten Illustrationen,Book,Religion,ISCED 1 - Primary level,Textbook,Argentina
61,102763429X,"RA W-1(1,2017)6",gei102763429X,GEI,PPN=102763429X,2016,Santillana,Ciudad Autónoma de Buenos Aires,"Cuento con Jesús 6, [Schülerband] / editora: Susana Cantero","['Catero, Susana', 'Paz, Alicia', 'Paris, Walter']",135 Seiten Illustrationen,Book,Religion,ISCED 1 - Primary level,Textbook,Argentina
